Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W8X24,W8X24,F,24,7.08,7.93,–,–,–,6.5,–,–,–,0.245,0.4,–,–,–,0.794,–,–,–,–,–,8.12,–,–,25.9,–,–,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,–,–,–,0.346
W,W8X21,W8X21,F,21,6.16,8.28,–,–,–,5.27,–,–,–,0.25,0.4,–,–,–,0.7,–,–,–,–,–,6.59,–,–,27.5,–,–,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,–,–,–,0.282
W,W8X18,W8X18,F,18,5.26,8.14,–,–,–,5.25,–,–,–,0.23,0.33,–,–,–,0.63,–,–,–,–,–,7.95,–,–,29.9,–,–,61.9,17,15.2,3.43,7.97,4.66,3.04,1.23,–,–,–,0.172
W,W8X15,W8X15,F,15,4.44,8.11,–,–,–,4.02,–,–,–,0.245,0.315,–,–,–,0.615,–,–,–,–,–,6.37,–,–,28.1,–,–,48,13.6,11.8,3.29,3.41,2.67,1.7,0.876,–,–,–,0.137
W,W8X13,W8X13,F,13,3.84,7.99,–,–,–,4,–,–,–,0.23,0.255,–,–,–,0.555,–,–,–,–,–,7.84,–,–,29.9,–,–,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,–,–,–,0.0871
W,W8X10,W8X10,F,10,2.96,7.89,–,–,–,3.94,–,–,–,0.17,0.205,–,–,–,0.505,–,–,–,–,–,9.61,–,–,40.5,–,–,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,–,–,–,0.0426
W,W6X25,W6X25,F,25,7.34,6.38,–,–,–,6.08,–,–,–,0.32,0.455,–,–,–,0.705,–,–,–,–,–,6.68,–,–,15.5,–,–,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,–,–,–,0.461
W,W6X20,W6X20,F,20,5.87,6.2,–,–,–,6.02,–,–,–,0.26,0.365,–,–,–,0.615,–,–,–,–,–,8.25,–,–,19.1,–,–,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,–,–,–,0.24
W,W6X15,W6X15,F,15,4.43,5.99,–,–,–,5.99,–,–,–,0.23,0.26,–,–,–,0.51,–,–,–,–,–,11.5,–,–,21.6,–,–,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,–,–,–,0.101
W,W6X16,W6X16,F,16,4.74,6.28,–,–,–,4.03,–,–,–,0.26,0.405,–,–,–,0.655,–,–,–,–,–,4.98,–,–,19.1,–,–,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,–,–,–,0.223
W,W6X12,W6X12,F,12,3.55,6.03,–,–,–,4,–,–,–,0.23,0.28,–,–,–,0.53,–,–,–,–,–,7.14,–,–,21.6,–,–,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,–,–,–,0.0903
W,W6X9,W6X9,F,9,2.68,5.9,–,–,–,3.94,–,–,–,0.17,0.215,–,–,–,0.465,–,–,–,–,–,9.16,–,–,29.2,–,–,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,–,–,–,0.0405
W,W6X8.5,W6X8.5,F,8.5,2.52,5.83,–,–,–,3.94,–,–,–,0.17,0.195,–,–,–,0.445,–,–,–,–,–,10.1,–,–,29.1,–,–,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,–,–,–,0.0333
W,W5X19,W5X19,F,19,5.56,5.15,–,–,–,5.03,–,–,–,0.27,0.43,–,–,–,0.73,–,–,–,–,–,5.85,–,–,13.7,–,–,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,–,–,–,0.316
W,W5X16,W5X16,F,16,4.71,5.01,–,–,–,5,–,–,–,0.24,0.36,–,–,–,0.66,–,–,–,–,–,6.94,–,–,15.4,–,–,21.4,9.63,8.55,2.13,7.51,4.58,3,1.26,–,–,–,0.192
W,W4X13,W4X13,F,13,3.83,4.16,–,–,–,4.06,–,–,–,0.28,0.345,–,–,–,0.595,–,–,–,–,–,5.88,–,–,10.6,–,–,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1,–,–,–,0.151
